No,Time (s),Temperature (C),Gyro_x,Gyro_y,Gyro_z,Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z
124,153365.82,30.5,-0.0031957934,0.0074568512,-0.0074568512,0.0095771486,0,-10.113469,-0.3795,-1.605,1.6515
125,153365.82,30.5,-0.0042610578,0.0085221156,-0.0074568512,-0.095771484,0.028731447,-10.1422,-0.3795,-1.605,1.6515
126,153365.82,30.5,-0.0063915867,0.0010652645,-0.0042610578,-0.057462893,0.095771484,-10.170932,-0.3795,-1.605,1.6515
127,153365.82,30.5,-0.0074568512,-0.0053263223,0.0021305289,-0.095771484,0.019154297,-10.132624,-0.3795,-1.605,1.6515
128,153365.82,30.5,-0.0074568512,-0.010652645,0.0031957934,-0.095771484,0.019154297,-10.132624,-0.3795,-1.605,1.6515
129,153365.82,30.5,-0.0010652645,-0.0085221156,0.0021305289,0,0.028731447,-10.151777,-0.3795,-1.605,1.6515
130,153365.82,30.5,0.0010652645,-0.0063915867,-0.0031957934,-0.086194336,0.028731447,-10.180509,-0.3795,-1.605,1.6515
131,153365.82,30.5,0.0010652645,-0.0010652645,-0.0010652645,-0.028731447,0.028731447,-10.065583,-0.37650001,-1.6005,1.6485
132,153365.82,30.5,-0.0021305289,0.0031957934,-0.0021305289,-0.019154297,0.038308594,-10.113469,-0.37650001,-1.6005,1.6485
133,153365.83,30.5,0,0.0085221156,-0.0010652645,-0.019154297,0.038308594,-10.113469,-0.37650001,-1.6005,1.6485
134,153365.83,30.5,0.0010652645,0.0063915867,-0.0063915867,-0.086194336,-0.019154297,-10.094315,-0.37650001,-1.6005,1.6485
135,153365.83,30.5,0.0010652645,0.0010652645,-0.0053263223,-0.057462893,0.038308594,-10.094315,-0.37650001,-1.6005,1.6485
136,153365.83,30.5,-0.0010652645,-0.0021305289,-0.0042610578,-0.057462893,0.038308594,-10.094315,-0.37650001,-1.6005,1.6485
137,153365.83,30.5,0.0010652645,0.0010652645,-0.0010652645,-0.057462893,0.019154297,-10.103891,-0.37650001,-1.6005,1.6485
138,153365.83,30.5,0.0010652645,0.0063915867,-0.0031957934,-0.057462893,0.038308594,-10.07516,-0.37650001,-1.6005,1.6485
139,153365.83,30.5,0,0.0053263223,-0.0063915867,-0.095771484,-0.0095771486,-10.123046,-0.37650001,-1.6005,1.6485
140,153365.83,30.5,-0.0021305289,0.0031957934,-0.0063915867,-0.028731447,0.0095771486,-10.036852,-0.37650001,-1.6005,1.6485
141,153365.83,30.5,-0.0031957934,0.0010652645,-0.0053263223,0,0.028731447,-10.103891,-0.37349999,-1.6005,1.6485
142,153365.83,30.5,-0.0021305289,-0.0031957934,-0.0010652645,-0.047885742,0.028731447,-10.103891,-0.37349999,-1.6005,1.6485
143,153365.84,30.5,-0.0010652645,-0.0063915867,-0.0010652645,-0.047885742,0.028731447,-10.103891,-0.37349999,-1.6005,1.6485
144,153365.84,30.5,-0.0021305289,-0.0095873801,0,-0.067040041,0.057462893,-10.132624,-0.37349999,-1.6005,1.6485
145,153365.84,30.5,-0.0063915867,-0.0095873801,-0.0031957934,-0.076617189,0.057462893,-10.094315,-0.37349999,-1.6005,1.6485
146,153365.84,30.5,-0.0085221156,-0.0063915867,-0.0021305289,-0.12450293,0.086194336,-10.113469,-0.37349999,-1.6005,1.6485
147,153365.84,30.5,-0.0053263223,-0.0010652645,0,-0.067040041,0.038308594,-10.103891,-0.37349999,-1.6005,1.6485
148,153365.84,30.5,-0.0021305289,0.0053263223,-0.0021305289,-0.067040041,0.038308594,-10.103891,-0.37349999,-1.6005,1.6485
149,153365.84,30.5,0.0021305289,0.0063915867,-0.0031957934,-0.028731447,0.038308594,-10.123046,-0.37349999,-1.6005,1.6485
150,153365.84,30.5,0.0021305289,0.0021305289,-0.0074568512,-0.038308594,0.076617189,-10.113469,-0.37349999,-1.6005,1.6485
151,153365.84,30.5,0.0031957934,0.0031957934,-0.0074568512,-0.038308594,0.076617189,-10.113469,-0.37349999,-1.6005,1.6485
152,153365.84,30.5,0.0021305289,0.0031957934,-0.0042610578,-0.076617189,0.047885742,-10.113469,-0.37349999,-1.599,1.6515
153,153365.85,30.5,0.0010652645,0.0074568512,-0.0053263223,-0.028731447,0.038308594,-10.103891,-0.37349999,-1.599,1.6515
154,153365.85,30.5,0.0010652645,0.0042610578,0,-0.028731447,0.038308594,-10.103891,-0.37349999,-1.599,1.6515
155,153365.85,30.5,-0.0010652645,-0.0010652645,0.0031957934,-0.028731447,0.028731447,-10.056006,-0.37349999,-1.599,1.6515
156,153365.85,30.5,-0.0021305289,-0.0053263223,0.0063915867,-0.028731447,0.028731447,-10.056006,-0.37349999,-1.599,1.6515
157,153365.85,30.5,-0.0042610578,-0.0053263223,0.0042610578,-0.028731447,0.057462893,-10.190086,-0.37349999,-1.599,1.6515
158,153365.85,30.5,-0.0042610578,0,0.0021305289,-0.028731447,0.057462893,-10.190086,-0.37349999,-1.599,1.6515
159,153365.85,30.5,-0.0042610578,0.0031957934,-0.0042610578,-0.028731447,0.028731447,-10.036852,-0.37349999,-1.599,1.6515
160,153365.85,30.5,-0.0021305289,0.0053263223,-0.010652645,-0.067040041,0,-10.113469,-0.37349999,-1.599,1.65
161,153365.85,30.5,-0.0021305289,0.0053263223,-0.010652645,-0.019154297,0,-10.065583,-0.37349999,-1.599,1.65
162,153365.85,30.5,-0.0010652645,0.0031957934,-0.0031957934,-0.019154297,0,-10.065583,-0.37349999,-1.599,1.65
163,153365.86,30.5,-0.0010652645,0.0063915867,0,-0.086194336,0.038308594,-10.094315,-0.37349999,-1.599,1.65
164,153365.86,30.5,0,0.0063915867,-0.0010652645,-0.019154297,-0.019154297,-10.132624,-0.37349999,-1.599,1.65
165,153365.86,30.5,0.0010652645,0.0042610578,-0.0063915867,-0.067040041,0.0095771486,-10.07516,-0.37349999,-1.599,1.65
166,153365.86,30.5,0.0042610578,-0.0031957934,-0.0063915867,-0.057462893,0.038308594,-10.056006,-0.37349999,-1.599,1.65
167,153365.86,30.5,0.0010652645,-0.0095873801,-0.0063915867,-0.067040041,0.019154297,-10.094315,-0.37349999,-1.599,1.65
